station_id,source_record_id,station_name,address,postcode,latitude,longitude,operator_name,data_provider,operational_status,number_of_evses,number_of_connectors,maximum_power_kw,access_type,usage_cost,source_url,source_last_updated,licence,attribution,verification_status,verification_notes
airis_6f88afdff062e0a132fc,157868,NCP Dumfries Place,"NCP Dumfries Place, Cardiff",CF10 3FN,51.484554,-3.172682,BP Pulse (UK),UK National Charge Point Registry,,,,22.0,public,,https://openchargemap.org/site/poi/details/157868,2023-05-03T08:36:00Z,Contains public sector information licensed under the Open Government Licence v2.0.,Open Charge Map; Data Provider: UK National Charge Point Registry,unreviewed,
airis_fbe76f33818eb3334d19,52910,NCP Pellet Street,"Pellet Street, Cardiff",CF10 4FF,51.478298,-3.17032,BP Pulse (UK),Open Charge Map Contributors,operational,3.0,4.0,3.0,public,£0.59/kWh; other tariffs available. Parking fees apply,https://openchargemap.org/site/poi/details/52910,2023-04-03T17:00:00Z,Licensed under Creative Commons Attribution 4.0 International (CC BY 4.0),Open Charge Map; Data Provider: Open Charge Map Contributors,unreviewed,
airis_d560a303a4821d0f562e,285778,Sophia Gardens,"Sophia Gardens, Cardiff",CF11 9HW,51.483564,-3.189366,Connected Kerb,UK National Charge Point Registry,unknown,,,22.0,public,,https://openchargemap.org/site/poi/details/285778,2023-12-07T08:10:00Z,Contains public sector information licensed under the Open Government Licence v2.0.,Open Charge Map; Data Provider: UK National Charge Point Registry,unreviewed,
airis_046f7aff802305a339e7,47246,NCP Dumfries Place,"Dumfries Place, Cardiff",CF10 3FN,51.478001,-3.16922,BP Pulse (UK),Open Charge Map Contributors,operational,2.0,4.0,7.0,public,Inclusive; for Polar Plus subscription members only. Parking fees apply,https://openchargemap.org/site/poi/details/47246,2019-03-06T06:32:00Z,Licensed under Creative Commons Attribution 4.0 International (CC BY 4.0),Open Charge Map; Data Provider: Open Charge Map Contributors,unreviewed,
airis_fc45ad043e668a3af5cd,259924,King Edward Vii Avenue,"King Edward Vii Avenue, Cardiff",CF10 3NB,51.488436,-3.183733,Osprey Charging,Open Charge Map Contributors,operational,2.0,4.0,50.0,public,£0.79/kWh,https://openchargemap.org/site/poi/details/259924,2024-08-13T17:05:00Z,Licensed under Creative Commons Attribution 4.0 International (CC BY 4.0),Open Charge Map; Data Provider: Open Charge Map Contributors,unreviewed,
airis_d508e2db52a6b7675cbb,259891,Howard Place,"Howard Place, Cardiff",CF24 0DE,51.48399914,-3.166332585,Osprey Charging,Open Charge Map Contributors,operational,4.0,4.0,50.0,public,£0.79/kWh,https://openchargemap.org/site/poi/details/259891,2024-08-13T17:03:00Z,Licensed under Creative Commons Attribution 4.0 International (CC BY 4.0),Open Charge Map; Data Provider: Open Charge Map Contributors,unreviewed,
airis_0ece004f3926dd3d2f6a,117888,Ibis Budget Cardiff,"Ibis Budget Cardiff, Tyndall Street, Cardiff",CF10 4BE,51.476021,-3.168791,BP Pulse (UK),Open Charge Map Contributors,operational,1.0,1.0,4.0,public,Inclusive; for Polar Plus subscription members only,https://openchargemap.org/site/poi/details/117888,2019-03-08T06:39:00Z,Licensed under Creative Commons Attribution 4.0 International (CC BY 4.0),Open Charge Map; Data Provider: Open Charge Map Contributors,unreviewed,
airis_67b9d9f5c7480b12a7ed,200352,Mardy Street,"Mardy Street, Cardiff",CF11 6RD,51.474088,-3.185956,Evolt Network (Swarco E.Connect),UK National Charge Point Registry,,,,7.0,public,,https://openchargemap.org/site/poi/details/200352,2023-12-07T08:10:00Z,Contains public sector information licensed under the Open Government Licence v2.0.,Open Charge Map; Data Provider: UK National Charge Point Registry,unreviewed,
airis_0866395be71fb88857e7,252001,DRAX00238,"Tyndall Street, Cardiff",CF10 4BE,51.47672,-3.16755,Drax Energy Solutions Limited,UK National Charge Point Registry,,,,22.0,public,,https://openchargemap.org/site/poi/details/252001,2023-05-04T08:42:00Z,Contains public sector information licensed under the Open Government Licence v2.0.,Open Charge Map; Data Provider: UK National Charge Point Registry,unreviewed,
airis_2750ce20495a08e07ec8,132454,Rennie Street,"Rennie Street, Cardiff",CF11 6EG,51.4788,-3.1951,Evolt Network (Swarco E.Connect),Open Charge Map Contributors,operational,2.0,2.0,7.0,public,£0.31/kWh,https://openchargemap.org/site/poi/details/132454,2019-10-02T08:28:00Z,Licensed under Creative Commons Attribution 4.0 International (CC BY 4.0),Open Charge Map; Data Provider: Open Charge Map Contributors,unreviewed,
airis_e087bdf6460b769e5d24,285830,North Road,"North Road Car Park, Cardiff",CF10 3DY,51.490523,-3.188036,Connected Kerb,UK National Charge Point Registry,unknown,,,7.0,public,,https://openchargemap.org/site/poi/details/285830,2023-12-07T08:10:00Z,Contains public sector information licensed under the Open Government Licence v2.0.,Open Charge Map; Data Provider: UK National Charge Point Registry,unreviewed,
airis_92d27599db462d7026d2,136139,Maindy Road,"Maindy Road, Cardiff",CF24 4HQ,51.49265,-3.18381,Evolt Network (Swarco E.Connect),UK National Charge Point Registry,,,,7.0,public,,https://openchargemap.org/site/poi/details/136139,2023-12-07T08:10:00Z,Contains public sector information licensed under the Open Government Licence v2.0.,Open Charge Map; Data Provider: UK National Charge Point Registry,unreviewed,
airis_3aae53b1edc64850567b,214123,DRAX00165,"Schooner Way, Cardiff",CF10 4RT,51.47301,-3.16607,Drax Energy Solutions Limited,UK National Charge Point Registry,,,,22.0,public,,https://openchargemap.org/site/poi/details/214123,2023-05-04T08:42:00Z,Contains public sector information licensed under the Open Government Licence v2.0.,Open Charge Map; Data Provider: UK National Charge Point Registry,unreviewed,
airis_3729d40d75c6d2eecb5d,132455,Severn Road Car Park,"Severn Road, Cardiff",CF11 9DX,51.48201,-3.19883,Evolt Network (Swarco E.Connect),Open Charge Map Contributors,operational,2.0,2.0,7.0,public,£0.31/kWh,https://openchargemap.org/site/poi/details/132455,2019-10-02T08:31:00Z,Licensed under Creative Commons Attribution 4.0 International (CC BY 4.0),Open Charge Map; Data Provider: Open Charge Map Contributors,unreviewed,
airis_8de65bb0720d6c78e1fb,187690,Kyveilog Street,"Kyveilog Street, Cardiff",CF11 9JA,51.487668,-3.197033,Evolt Network (Swarco E.Connect),UK National Charge Point Registry,,,,7.0,public,,https://openchargemap.org/site/poi/details/187690,2023-12-07T08:10:00Z,Contains public sector information licensed under the Open Government Licence v2.0.,Open Charge Map; Data Provider: UK National Charge Point Registry,unreviewed,
airis_0328717e3cea0ac1806f,265999,EVC Holiday Inn Express Cardiff,"Longueil Close, Schooner Way, Cardiff",CF10 4EE,51.472444409730244,-3.164669448584325,Roam Charging (UK),Open Charge Map Contributors,operational,4.0,4.0,22.0,public,,https://openchargemap.org/site/poi/details/265999,2023-05-26T09:40:00Z,Licensed under Creative Commons Attribution 4.0 International (CC BY 4.0),Open Charge Map; Data Provider: Open Charge Map Contributors,unreviewed,
airis_95801a2e85a43c20b2c7,200334,Redlaver Street,"redlaver Street, Cardiff",CF117YL,51.469115,-3.184647,Evolt Network (Swarco E.Connect),UK National Charge Point Registry,,,,7.0,public,,https://openchargemap.org/site/poi/details/200334,2023-12-07T08:10:00Z,Contains public sector information licensed under the Open Government Licence v2.0.,Open Charge Map; Data Provider: UK National Charge Point Registry,unreviewed,
airis_9f8cf84028bb4c8a1ace,200416,Pontcanna Street,"Pontcanna Street, Cardiff",CF119HQ,51.486898,-3.199894,Evolt Network (Swarco E.Connect),UK National Charge Point Registry,,,,7.0,public,,https://openchargemap.org/site/poi/details/200416,2023-12-07T08:10:00Z,Contains public sector information licensed under the Open Government Licence v2.0.,Open Charge Map; Data Provider: UK National Charge Point Registry,unreviewed,
airis_39b94fd4816ab150bff0,115033,MFG Texaco Ninian,"Sloper Road, Cardiff",CF11 8BN,51.469647,-3.195624,The GeniePoint Network ( EQUANS EV Solutions ),Open Charge Map Contributors,operational,1.0,3.0,50.0,public,£1.00 + £0.30/kWh,https://openchargemap.org/site/poi/details/115033,2019-01-23T17:43:00Z,Licensed under Creative Commons Attribution 4.0 International (CC BY 4.0),Open Charge Map; Data Provider: Open Charge Map Contributors,unreviewed,
airis_b8ca386746aa48913e8f,47476,UK Steel Enterprise Cardiff,"Cardiff Bay Business Centre, Titan House, Lewis Road, Ocean Park, Cardiff, Wales",CF24 5BS,51.476339,-3.154874,Zero Carbon World,Open Charge Map Contributors,operational,1.0,1.0,7.0,public,,https://openchargemap.org/site/poi/details/47476,2015-05-27T11:43:00Z,Licensed under Creative Commons Attribution 4.0 International (CC BY 4.0),Open Charge Map; Data Provider: Open Charge Map Contributors,unreviewed,
airis_5bce80e842998aee7c52,285770,Harvey Street,"Harvey Street Car Park, Cardiff",CF5 1QW,51.48224,-3.205278,Connected Kerb,UK National Charge Point Registry,unknown,,,22.0,public,,https://openchargemap.org/site/poi/details/285770,2023-12-07T08:10:00Z,Contains public sector information licensed under the Open Government Licence v2.0.,Open Charge Map; Data Provider: UK National Charge Point Registry,unreviewed,
airis_dd426e6fa2b075eb051d,132459,Turning Head Car Park - Cardiff,"Penhill Road, Cardiff",CF11 9QJ,51.48915,-3.2036,Evolt Network (Swarco E.Connect),Open Charge Map Contributors,operational,2.0,2.0,7.0,public,£0.31/kWh,https://openchargemap.org/site/poi/details/132459,2019-10-02T08:39:00Z,Licensed under Creative Commons Attribution 4.0 International (CC BY 4.0),Open Charge Map; Data Provider: Open Charge Map Contributors,unreviewed,
airis_b3f8c8a32ad90052f6c8,132456,Anglesey Street - Cardiff,"Anglesey Street, Cardiff",CF5 1QZ,51.48313,-3.20707,Evolt Network (Swarco E.Connect),Open Charge Map Contributors,operational,2.0,2.0,7.0,public,£0.31/kWh,https://openchargemap.org/site/poi/details/132456,2019-10-02T08:32:00Z,Licensed under Creative Commons Attribution 4.0 International (CC BY 4.0),Open Charge Map; Data Provider: Open Charge Map Contributors,unreviewed,
airis_1d4ddbd2f7e280d34542,132462,Penylan Library Car Park - Cardiff,"Penylan Library Car Park, Cardiff",CF23 5HW,51.49677,-3.1645,Evolt Network (Swarco E.Connect),Open Charge Map Contributors,operational,2.0,2.0,7.0,public,£0.31/kWh,https://openchargemap.org/site/poi/details/132462,2019-10-02T08:58:00Z,Licensed under Creative Commons Attribution 4.0 International (CC BY 4.0),Open Charge Map; Data Provider: Open Charge Map Contributors,unreviewed,
airis_86396a3ef80877186baa,285931,Tewkesbury Place,"Tewkesbury Place, Cardiff",CF24 4QF,51.50026,-3.178055,Connected Kerb,UK National Charge Point Registry,unknown,,,7.0,public,,https://openchargemap.org/site/poi/details/285931,2023-12-07T08:10:00Z,Contains public sector information licensed under the Open Government Licence v2.0.,Open Charge Map; Data Provider: UK National Charge Point Registry,unreviewed,
airis_80b9188bc22f7f019c5e,101686,Q-Park Cardiff Bay,"Q-Park Cardiff Bay, Pierhead Street, Cardiff",CF10 4PH,51.465801,-3.1625,BP Pulse (UK),Open Charge Map Contributors,operational,1.0,3.0,50.0,public,£0.79/kWh; other tariffs available,https://openchargemap.org/site/poi/details/101686,2023-08-23T10:22:00Z,Licensed under Creative Commons Attribution 4.0 International (CC BY 4.0),Open Charge Map; Data Provider: Open Charge Map Contributors,unreviewed,
airis_166a187eab7cb6059083,260025,Bute Crescent,"Bute Crescent, Cardiff",CF10 5AN,51.464247,-3.1649849,Osprey Charging,Open Charge Map Contributors,operational,4.0,4.0,50.0,public,£0.79/kWh,https://openchargemap.org/site/poi/details/260025,2024-08-13T17:03:00Z,Licensed under Creative Commons Attribution 4.0 International (CC BY 4.0),Open Charge Map; Data Provider: Open Charge Map Contributors,unreviewed,
airis_aa4c211c5a940b4c1b62,258892,IKEA Cardiff,"Ferry Road, Grangetown, Cardiff",CF11 0JR,51.462816,-3.188446,Electric Highway (UK),Open Charge Map Contributors,operational,2.0,3.0,50.0,public,DC: £0.79/kWh,https://openchargemap.org/site/poi/details/258892,2023-11-30T09:50:00Z,Licensed under Creative Commons Attribution 4.0 International (CC BY 4.0),Open Charge Map; Data Provider: Open Charge Map Contributors,unreviewed,
airis_18512e9f2cb48402a38f,132460,Stallcourt Avenue - Cardiff,"Stallcourt Avenue, Cardiff",CF23 5AN,51.4946,-3.15485,Evolt Network (Swarco E.Connect),Open Charge Map Contributors,operational,2.0,2.0,7.0,public,£0.31/kWh,https://openchargemap.org/site/poi/details/132460,2019-10-02T08:53:00Z,Licensed under Creative Commons Attribution 4.0 International (CC BY 4.0),Open Charge Map; Data Provider: Open Charge Map Contributors,unreviewed,
airis_70f3cdfed60f400050fd,132461,Waterloo Road - Cardiff,"Waterloo Road, Cardiff",CF23 5DX,51.49655,-3.15663,Evolt Network (Swarco E.Connect),Open Charge Map Contributors,operational,2.0,2.0,7.0,public,£0.31/kWh,https://openchargemap.org/site/poi/details/132461,2019-10-02T08:54:00Z,Licensed under Creative Commons Attribution 4.0 International (CC BY 4.0),Open Charge Map; Data Provider: Open Charge Map Contributors,unreviewed,
airis_775500559e0cad784837,9814,Wessex Garages Cardiff,"Hadfield Road, Cardiff, Wales",CF11 8AQ,51.4665486,-3.20170359999997,(Business Owner at Location),Open Charge Map Contributors,unknown,3.0,4.0,50.0,private,Free,https://openchargemap.org/site/poi/details/9814,2018-06-14T21:28:00Z,Licensed under Creative Commons Attribution 4.0 International (CC BY 4.0),Open Charge Map; Data Provider: Open Charge Map Contributors,unreviewed,
airis_d6e6a24b96376ba9af96,260002,Britannia Quay,"Britannia Quay, Cardiff",CF10 4PB,51.464363,-3.160242,Osprey Charging,Open Charge Map Contributors,operational,2.0,4.0,50.0,public,£0.79/kWh,https://openchargemap.org/site/poi/details/260002,2024-08-29T15:09:00Z,Licensed under Creative Commons Attribution 4.0 International (CC BY 4.0),Open Charge Map; Data Provider: Open Charge Map Contributors,unreviewed,
airis_f886fc76be7c3a77022f,251500,"Bettws Lane Car Park, Newport","Bettws Lane Car Park, Cardiff",CF10 5SG,51.461555,-3.168205,Connected Kerb,UK National Charge Point Registry,,,,7.0,public,,https://openchargemap.org/site/poi/details/251500,2023-05-04T08:41:00Z,Contains public sector information licensed under the Open Government Licence v2.0.,Open Charge Map; Data Provider: UK National Charge Point Registry,unreviewed,
airis_096a150517372b2a668d,94121,Wessex Garages Cardiff,"289 Penarth Road, Cardiff",CF11 8AQ,51.468083,-3.206283,Nissan UK Dealer Network,Open Charge Map Contributors,operational,2.0,2.0,7.0,public,1,https://openchargemap.org/site/poi/details/94121,2024-11-15T14:05:00Z,Licensed under Creative Commons Attribution 4.0 International (CC BY 4.0),Open Charge Map; Data Provider: Open Charge Map Contributors,unreviewed,
airis_d178685f83cabc1f02c7,127599,Voco St David's Hotel,Voco St David's Hotel,cf10 5sd,51.460517,-3.167412,Tesla (Tesla-only charging),Open Charge Map Contributors,operational,2.0,2.0,7.0,public,,https://openchargemap.org/site/poi/details/127599,2019-06-05T12:01:00Z,Licensed under Creative Commons Attribution 4.0 International (CC BY 4.0),Open Charge Map; Data Provider: Open Charge Map Contributors,unreviewed,
airis_4d49c406033a4ff3973f,285780,Star Hub,"Star Hub Car Park, Cardiff",CF24 2SJ,51.484894,-3.143337,Connected Kerb,UK National Charge Point Registry,unknown,,,22.0,public,,https://openchargemap.org/site/poi/details/285780,2023-12-07T08:10:00Z,Contains public sector information licensed under the Open Government Licence v2.0.,Open Charge Map; Data Provider: UK National Charge Point Registry,unreviewed,
airis_84a7701983c186cbe3af,210279,Tesco Extra-Cardiff,"Excelsior Estate, Excelsior Road, Cardiff",CF14 3AT,51.49791839,-3.2071764,POD Point (UK),Open Charge Map Contributors,operational,4.0,6.0,50.0,public,£0.44/kWh,https://openchargemap.org/site/poi/details/210279,2023-10-09T17:01:00Z,Licensed under Creative Commons Attribution 4.0 International (CC BY 4.0),Open Charge Map; Data Provider: Open Charge Map Contributors,unreviewed,
airis_f0782529b5ad354d2a05,260691,University of Wales Hospital,"Heath Road, Cardiff",CF14 4XW,51.50591,-3.18741,POD Point (UK),Open Charge Map Contributors,operational,12.0,12.0,7.0,public,£0.272/kWh,https://openchargemap.org/site/poi/details/260691,2024-07-09T13:14:00Z,Licensed under Creative Commons Attribution 4.0 International (CC BY 4.0),Open Charge Map; Data Provider: Open Charge Map Contributors,unreviewed,
airis_5ea17c642133289def43,132457,Victoria Park Road - Cardiff,"Victoria Park Road, Cardiff",CF5 1EZ,51.48322,-3.21936,Evolt Network (Swarco E.Connect),Open Charge Map Contributors,operational,2.0,2.0,7.0,public,£0.31/kWh,https://openchargemap.org/site/poi/details/132457,2019-10-02T08:35:00Z,Licensed under Creative Commons Attribution 4.0 International (CC BY 4.0),Open Charge Map; Data Provider: Open Charge Map Contributors,unreviewed,
airis_63004a6b9ce8784bad0f,132458,Butleigh Avenue - Cardiff,"Butleigh Avenue, Cardiff",CF5 1AP,51.48595,-3.22232,Evolt Network (Swarco E.Connect),Open Charge Map Contributors,operational,2.0,2.0,7.0,public,£0.31/kWh,https://openchargemap.org/site/poi/details/132458,2019-10-02T08:37:00Z,Licensed under Creative Commons Attribution 4.0 International (CC BY 4.0),Open Charge Map; Data Provider: Open Charge Map Contributors,unreviewed,
airis_9e9134ddd9469563ea57,200454,Llandaff High Street Car Park,"Llandaff High Street Car Park, Cardiff",CF5 2DX,51.494256,-3.218335,Evolt Network (Swarco E.Connect),UK National Charge Point Registry,,,,7.0,public,,https://openchargemap.org/site/poi/details/200454,2023-12-07T08:10:00Z,Contains public sector information licensed under the Open Government Licence v2.0.,Open Charge Map; Data Provider: UK National Charge Point Registry,unreviewed,
airis_ccd959febb8f3334c39d,205042,Tesco Extra-Cardiff Pengam,"Eastern Bay Road, Pengam Green, Cardiff",CF24 2HP,51.487998,-3.127919,POD Point (UK),Open Charge Map Contributors,operational,4.0,4.0,7.0,public,£0.44/kWh,https://openchargemap.org/site/poi/details/205042,2023-04-12T05:21:00Z,Licensed under Creative Commons Attribution 4.0 International (CC BY 4.0),Open Charge Map; Data Provider: Open Charge Map Contributors,unreviewed,
airis_f536b167fad74e6cf2f2,285963,"College Road, Cardiff","College Road, Cardiff",CF14 2HJ,51.502182,-3.220884,Connected Kerb,UK National Charge Point Registry,unknown,,,22.0,public,,https://openchargemap.org/site/poi/details/285963,2023-12-07T08:10:00Z,Contains public sector information licensed under the Open Government Licence v2.0.,Open Charge Map; Data Provider: UK National Charge Point Registry,unreviewed,
airis_65c6914bc87cf72b6a3b,285666,Tesco Superstore - Penarth,"Terra Nova Way, Penarth",CF64 1SA,51.445999,-3.186151,POD Point (UK),Open Charge Map Contributors,unknown,,,7.0,public,,https://openchargemap.org/site/poi/details/285666,2025-03-10T06:29:00Z,Licensed under Creative Commons Attribution 4.0 International (CC BY 4.0),Open Charge Map; Data Provider: Open Charge Map Contributors,unreviewed,
airis_19a85544f2b3ea7fb9ce,259952,Three Arches,"Three Arches, Heathwood Road, Cardiff",CF14 4HS,51.519434,-3.180886,Osprey Charging,Open Charge Map Contributors,operational,4.0,4.0,75.0,public,£0.79/kWh,https://openchargemap.org/site/poi/details/259952,2024-08-29T15:09:00Z,Licensed under Creative Commons Attribution 4.0 International (CC BY 4.0),Open Charge Map; Data Provider: Open Charge Map Contributors,unreviewed,
airis_b226d245101e1c918414,187747,Cardiff & Vale University Health Board,"Woodlands House, Cardiff",CF14 4HH,51.520046,-3.194338,POD Point (UK),UK National Charge Point Registry,,,,7.0,public,,https://openchargemap.org/site/poi/details/187747,2023-05-04T08:45:00Z,Contains public sector information licensed under the Open Government Licence v2.0.,Open Charge Map; Data Provider: UK National Charge Point Registry,unreviewed,
airis_9173dfee665071b979e5,285657,"Arcott Street, Barry","Arcott Street, Barry",CF64 1ET,51.44093,-3.176069,Connected Kerb,UK National Charge Point Registry,unknown,,,22.0,public,,https://openchargemap.org/site/poi/details/285657,2023-12-07T08:10:00Z,Contains public sector information licensed under the Open Government Licence v2.0.,Open Charge Map; Data Provider: UK National Charge Point Registry,unreviewed,
airis_9b167f8cea08206be6ba,286066,"Penlline Road, Cardiff","Penlline Road Car Park, Cardiff",CF14 2AA,51.51442909600459,-3.2206491864869804,Connected Kerb,Open Charge Map Contributors,unknown,2.0,3.0,50.0,public,,https://openchargemap.org/site/poi/details/286066,2025-10-14T08:54:00Z,Licensed under Creative Commons Attribution 4.0 International (CC BY 4.0),Open Charge Map; Data Provider: Open Charge Map Contributors,unreviewed,
airis_7b0dd82fa4140caeb152,285651,"Albert Road, Barry","Albert Road, Vale of Glamorgan, Barry",CF64 1BZ,51.439078,-3.173322,Connected Kerb,UK National Charge Point Registry,unknown,,,7.0,public,,https://openchargemap.org/site/poi/details/285651,2023-12-07T08:10:00Z,Contains public sector information licensed under the Open Government Licence v2.0.,Open Charge Map; Data Provider: UK National Charge Point Registry,unreviewed,
airis_0235119709426a653f5d,100171,InstaVolt Bannatyne Health Club & Spa,"Parc Ty Glas, Llanishen, Cardiff",CF14 5DU,51.5242172,-3.1918042,InstaVolt Ltd,Open Charge Map Contributors,operational,2.0,4.0,50.0,public,£0.75/kWh,https://openchargemap.org/site/poi/details/100171,2023-04-03T08:29:00Z,Licensed under Creative Commons Attribution 4.0 International (CC BY 4.0),Open Charge Map; Data Provider: Open Charge Map Contributors,unreviewed,
airis_1bba313e22632283295f,200520,Ty Glas Road,"Ty Glas Road, Cardiff",CF14 5EB,51.52515,-3.202318,The GeniePoint Network ( EQUANS EV Solutions ),UK National Charge Point Registry,,,,50.0,public,,https://openchargemap.org/site/poi/details/200520,2023-02-09T08:11:00Z,Contains public sector information licensed under the Open Government Licence v2.0.,Open Charge Map; Data Provider: UK National Charge Point Registry,unreviewed,
airis_80578d8d9885bdcae429,214029,Cliff Parade Car Park,"Cliff Parade Car Park, Penarth",CF64 5BP,51.42745,-3.17186,Connected Kerb,UK National Charge Point Registry,,,,7.0,public,,https://openchargemap.org/site/poi/details/214029,2023-02-13T04:24:00Z,Contains public sector information licensed under the Open Government Licence v2.0.,Open Charge Map; Data Provider: UK National Charge Point Registry,unreviewed,
airis_741d2cdef1b829a900ac,256844,Spire Cardiff Hospital,"Croescadarn Road, Pontprennau, Cardiff, Cymru / Wales",CF23 8XL,51.53077459231975,-3.1412470889080675,Vend Electric,Open Charge Map Contributors,operational,4.0,4.0,11.0,public,£0.20/kWh,https://openchargemap.org/site/poi/details/256844,2023-03-13T17:27:00Z,Licensed under Creative Commons Attribution 4.0 International (CC BY 4.0),Open Charge Map; Data Provider: Open Charge Map Contributors,unreviewed,
airis_a89c5fa68f7e5865744b,16281,G24 Innovations,"Newlands Road, Newport",CF3 2GH,51.506864,-3.101256,POD Point (UK),Open Charge Map Contributors,unknown,2.0,2.0,3.0,private,Free,https://openchargemap.org/site/poi/details/16281,2017-10-10T09:33:00Z,Licensed under Creative Commons Attribution 4.0 International (CC BY 4.0),Open Charge Map; Data Provider: Open Charge Map Contributors,unreviewed,
airis_eea2a83d1e9d0e395e8a,201478,Tesla Cardiff,"Croescadarn Road, Cardiff, Wales",CF23 8HE,51.53149670395635,-3.139770854898643,Tesla (including non-tesla),Open Charge Map Contributors,operational,8.0,8.0,250.0,public,,https://openchargemap.org/site/poi/details/201478,2022-09-01T16:55:00Z,Licensed under Creative Commons Attribution 4.0 International (CC BY 4.0),Open Charge Map; Data Provider: Open Charge Map Contributors,unreviewed,
